prediction,actual
1.1043365939690943,1.0
2.5038858637866497,1.0
2.470356583662351,1.0
2.4782587480249276,1.1
2.4932831638724338,1.0
2.550583972496838,0.8
2.5215352173869405,1.2
2.5517915436681733,0.5
2.5279184299503186,1.0
2.511739978416017,0.7
2.55695659862306,1.0
2.3570973224506133,1.0
2.3213245122919943,1.1
2.3448297651100347,0.9
2.390345674302921,1.3
2.3502949229949763,1.1
2.521907127100974,1.2
2.4755292949177488,1.4
2.463285612746347,1.7
2.553325062605097,1.3
2.4992440759413626,1.2
2.3233389931120314,1.1
2.3004901741165327,1.1
2.166009559517022,0.8
2.163930580046838,1.5
2.2164321060732277,1.1
2.512369993703942,1.7
2.5028986715761903,1.1
2.525737664351709,1.1
2.487487084875852,0.9
2.54241579141285,0.6
2.4934301763445887,0.9
2.4812522862592346,0.8
2.55115911299805,1.0
2.505132461473238,0.8
2.611606341568802,0.8
2.143145892590155,0.7
2.224265969741623,1.0
1.9424349579749105,0.3
2.014377368344981,0.3
1.9357652757660162,0.9
2.4403164651154157,0.8
2.513700697435752,1.5
2.546819691218275,1.7
2.4685280499165856,1.4
2.404430862179879,1.8
1.5762810014737738,1.8
1.5110946132807044,1.7
1.4504692254748193,3.2
1.527377225598741,1.4
1.4889235679218586,1.7
2.2365596978138456,2.1
2.178316574522796,1.6
2.0537785885303492,1.5
2.023746695214527,1.6
2.144569074508695,1.4
1.8254484546239382,1.8
1.9584071673930339,1.4
1.8087520441508786,2.0
1.8371013617726248,1.5
1.7827345805004597,1.7
1.9450531203799528,1.5
1.980495632101679,1.9
1.9709868973960738,1.2
2.0053605959270726,0.7
1.9447219137371121,0.9
1.545963137477031,0.7
1.4907389316416015,0.7
1.536129170673405,0.9
1.5048585441749651,0.9
1.5866362025161038,1.0
2.3909863191348677,0.2
2.3287718753820172,1.1
2.5751716280957453,1.9
2.4891632409920703,1.4
2.386967346315373,1.6
1.9230192650778122,2.0
1.989257275252669,1.4
1.7945515675182264,1.0
1.9650535375897675,1.0
1.9257439919095418,1.0
1.857549040881736,1.0
1.658176217942696,1.0
1.909964402585615,1.0
1.9409257834787468,0.9
2.027620647949675,0.9
2.017614406359371,0.9
2.188544284241175,0.7
2.1984399266211767,0.9
2.0866186722397515,0.8
2.120473185382366,0.9
2.0306368737276443,1.0
1.9376057447209405,1.0
2.082861914201544,0.8
2.2870564581413646,1.0
1.9828429856175944,0.9
2.126195201053008,0.9
2.112566019159601,1.1
2.042551177295252,0.9
2.116620784829422,0.7
2.2836525890647295,1.4
2.41248499580405,1.1
2.5156209257232263,0.9
2.728483318242695,0.9
2.6092011372675756,1.3
2.382736772354349,0.3
1.880322936658672,1.4
1.974638489396284,1.5
2.27132165221974,0.9
2.0754276245764913,1.3
2.0248824976820288,0.7
2.0648860024703595,1.0
2.030748650861767,1.0
2.5288508614094667,1.0
2.8169612693796466,0.8
2.575391955630323,0.9
2.938422517690526,0.9
2.94558903513024,1.1
2.7525615945212962,0.8
2.88679613326741,1.1
2.68758603775467,1.2
2.97753492548685,1.0
3.1507246369541804,1.0
4.293550156421759,1.2
3.7708330885234886,3.0
3.072076987068783,1.3
3.21543364357359,1.1
3.201668380520516,1.4
2.876512149356188,2.4
3.120327568488676,2.4
2.745345374603801,0.9
2.724875714105906,0.7
1.9758085104920156,0.7
1.924482004688457,1.1
2.1649963558597847,1.1
1.640414708030562,2.3
3.069534658190264,1.0
2.9923016420832482,1.1
2.964044031279059,0.7
2.8160950581553834,1.0
2.942077740631248,1.1
2.381434737138761,1.2
2.0014877058155207,0.4
2.2366106679271525,0.8
2.4494632265699465,1.0
2.5242514804474467,0.7
1.9529178099929254,1.6
1.90812500082194,1.0
1.752814630918067,3.0
1.7560175030853884,2.5
2.0756000615501193,2.6
1.5307034829817212,1.6
1.350868734719711,3.1
1.243855285022164,4.1
1.2824267621324452,2.6
1.1648440226260846,2.7
1.5730709917880858,4.2
1.7020666318846907,3.5
1.6483309745621,2.0
1.7060035790618713,2.6
1.9450491427894576,2.0
2.765866615414666,2.1
2.9767592193752535,2.3
4.0010516474184215,3.5
3.447997246060254,2.9
2.7562305673046694,1.6
4.463159419250985,2.1
3.440695106216765,3.0
3.4132385905900833,2.9
3.2348006549537445,3.6
3.3412615128949597,2.0
2.7178132665198973,2.9
3.464102801260651,3.3
3.7500910731041586,3.2
4.117751172166663,3.6
4.640874487493534,4.2
4.786419959317811,3.9
4.4683845398383255,3.7
5.919914515771438,4.0
5.544196989686668,4.2
5.149524628380675,4.1
4.100124246986184,4.9
5.8966144276131445,5.0
6.599773023869943,4.1
6.652652372709213,2.2
6.675288050795189,4.3
7.747191459417309,3.0
9.826149942426923,5.9
9.668849170774251,5.7
