prediction,actual
9.366349917276423,9.1
7.456027022068184,8.8
7.647021065827516,9.8
8.144039138833847,9.0
8.210281858620618,9.2
8.547943076147305,9.0
8.51062243699404,9.0
9.392308719546506,9.4
9.760129599937429,9.3
9.22815696771002,9.2
9.823518887369502,9.4
9.429996584275656,9.2
10.277982726405,9.0
10.475941467881185,8.9
10.541650292475921,8.9
10.626638592061752,9.1
11.651004038119154,9.1
11.992972832038788,9.3
13.087633859625171,9.1
13.446936794632322,9.3
13.559729000584014,9.7
14.57993994052616,9.5
14.546035539084116,8.9
15.668665988407113,9.4
14.627298186629574,9.9
15.785396888313997,9.6
16.141517919111124,8.7
16.621006348133108,9.6
16.141339122377047,9.6
16.90499834122913,9.8
16.248122192925663,9.4
16.794503529914827,9.4
15.68375543417715,9.4
15.13509883021873,9.4
15.840873186548599,8.9
15.875555872484533,8.8
16.068613218633665,8.8
15.532786340995251,9.1
15.965566093778882,9.1
15.087406402361019,9.0
15.541031391539669,9.4
16.207144169549125,9.1
16.267049498936373,8.6
16.378447500057362,9.3
15.945761238408025,9.2
14.914545351273873,9.1
15.36417915110728,9.9
15.750702164193711,9.4
16.04865912426034,9.4
16.09770214054427,9.4
15.564982759544904,9.4
15.270784112509617,9.2
14.692671513053014,9.2
16.004644816917377,9.0
16.21817360443397,9.1
15.758352484700382,9.1
15.2154635726653,8.7
14.019259487766135,9.6
14.720199598188543,9.2
15.126088128648746,9.2
14.258488534504494,9.2
14.952943025442536,9.1
14.128297464386733,9.1
13.928934144413901,8.6
13.360711613781419,9.0
16.074199483151276,9.2
14.397542243225743,8.7
14.581075093096729,9.8
14.147862040421217,8.7
13.41103811219439,9.0
15.447283449891572,9.7
16.334780346469252,9.4
15.576004966499177,8.9
17.001874157882618,9.2
18.878435969219204,9.0
17.195545462931598,9.3
20.154216283592447,8.9
18.406399043155773,9.1
18.30614037538966,8.8
18.898479636856763,8.6
17.433093984354457,9.0
17.058598977592098,9.1
19.00416091192635,8.8
17.06845849813898,10.6
17.746315359862606,10.3
16.008677818812274,10.4
16.155073548483372,10.6
18.15420013888324,10.1
17.88508477768309,10.4
20.15576998796945,10.8
19.505280396940478,10.7
18.205496319521274,10.5
18.13939977003956,10.5
19.696635067452334,10.7
16.447881621403468,11.0
16.8736389672559,9.3
15.717039003779767,10.7
17.046688978594396,10.0
16.8395253876728,10.5
16.958182406408717,9.7
17.859206519809838,9.6
18.984361109389184,11.5
20.546588918451377,11.2
20.60948521245753,11.3
19.454830816575665,10.3
20.643185837306063,13.1
19.07695034609379,13.2
20.432782446485625,12.9
21.07059139619448,10.7
22.039018833223018,11.2
22.281108012453082,11.1
25.713442531733477,11.8
29.05129810427097,11.7
30.634284078796682,12.0
30.6206504478576,13.0
30.411219841186977,11.8
31.020178505137736,12.9
29.358704079272457,12.7
31.542579720448018,15.6
30.074768263669753,26.8
31.88365935889695,30.2
32.5486708329515,30.0
30.926761679520354,35.2
30.077769700222277,36.6
29.748674730879173,35.2
31.631266537271983,34.1
30.937197346123753,33.9
29.119362656304105,32.5
30.021583733220268,36.4
28.25442672467463,41.7
27.006945501859633,38.1
29.530208957166977,31.7
26.06837786391732,30.2
27.789676478469104,29.0
28.21195262214202,34.9
26.619521231732463,31.1
25.90385158193797,30.8
26.19249605736701,33.4
26.704574930217063,36.4
24.607225945068222,35.0
25.865731638045588,33.8
24.600828341303284,33.6
23.26515834040569,36.3
26.229443771345615,31.4
25.2724736263514,35.6
25.852938367926825,39.0
27.38830218312124,37.4
28.77308097730966,38.9
30.76290888829986,38.6
32.62988139089882,40.7
34.485997473149524,42.2
35.99247062469509,40.6
37.9075472337685,35.4
35.75783343957458,38.1
34.7063698665997,41.7
32.893794634775915,40.3
34.343635501860234,36.9
37.84807199137049,37.0
38.75428537830908,36.7
40.25999599281705,41.6
39.5406453546255,44.4
36.356504485381365,39.5
36.97011436958546,43.4
38.647381239781254,41.5
38.66066996904837,40.6
40.72585561493918,38.2
38.700049441421775,37.1
39.396106309570165,34.8
39.121492335153896,39.3
40.78696330136051,37.0
39.676025366316274,36.4
38.52709380748752,42.2
38.23952779416034,40.2
38.28436945639062,39.4
38.138876089931045,41.8
36.514437717727034,43.5
40.69224051316633,42.9
37.54293662399747,49.7
36.73359964760201,51.3
38.4143562385217,51.2
39.832127716244976,49.4
39.69856880255418,47.6
37.76587201396683,40.1
37.09220648521671,40.9
36.49713187296243,40.6
37.71569882055755,46.4
37.61421163636883,47.1
37.49755191930782,43.5
35.19815626531544,44.2
35.65709275986135,41.8
34.98533494797507,45.1
34.301912232351626,44.1
35.52976104921595,52.8
38.568122231604704,56.1
36.10018384723729,61.8
36.7615259945232,50.0
39.49336179710736,42.9
35.358498821581755,43.4
36.15293731553073,45.1
35.671763920591054,45.4
36.583131373039954,49.4
37.867521158087676,50.4
39.67928473795305,52.6
39.29747847405911,49.9
43.73015050839286,51.8
38.888138453088,49.5
37.13232672480913,48.2
34.846705079499614,45.7
37.582910914619404,51.4
36.115055722784746,51.8
38.79060684035299,56.8
39.30528884764108,55.1
37.438008625833405,56.2
35.6152110719201,56.2
34.902164367282865,51.0
32.73571756316538,34.6
32.59142167200204,41.8
31.218841459654087,44.1
30.558987220935194,50.3
33.84828296782368,42.6
29.296438560305077,40.7
27.119727638269765,46.8
26.00136924778765,45.4
24.339863557318196,54.2
24.658388199002772,54.7
22.830197811948082,51.9
22.111553262128673,55.7
22.977726076400664,47.1
22.362290894702532,43.2
21.1585350357013,38.9
21.261771389257127,27.9
22.64636329070153,34.6
23.22646665419613,31.4
23.070408438133498,28.6
18.827871640852678,30.8
18.72547151456392,36.9
20.925876588167796,34.4
19.577566866528727,29.4
19.50914401214122,25.2
19.55990671969859,28.9
20.502398571802345,32.0
21.808605398389375,36.2
19.40764654163833,33.4
19.92360053181602,34.7
18.904850868590046,30.4
19.702634528699832,37.1
19.692181300748544,31.6
20.275467213902587,27.3
18.871832643196015,28.6
18.21473566334801,24.7
19.317372391486558,23.8
17.47802618525182,27.9
16.295155235507664,27.1
17.848277270433144,29.0
17.46313141466365,26.2
18.22381497254763,33.4
17.398819313817256,33.5
16.83087634598563,29.7
17.494095846411412,32.4
16.074561781041837,29.1
15.927893274121345,21.5
15.882751332530077,21.8
14.352735291114755,21.8
16.150906058656687,26.0
15.61932591869082,31.4
15.709416723786688,30.8
14.937989620331173,30.3
15.15017944921724,27.8
14.291729023728955,27.9
