,time,0000000006dd41f6,000000000f4919c9,0000000019fb59c4,00000000342570c2,0000000038bf9618,0000000038d83d41,000000004ef3150d,0000000053c6c2be,00000000675d5200,000000006b087f40,000000006b44cce7,0000000074f765a7,000000007b5207b6,0000000096918cfa,00000000a53ed894,00000000aa852af1,00000000afef4555,00000000b33a8357,00000000cd16b8ef,00000000d747f075,00000000e8a064a4,00000000f1124bca,00000000fb7600be,00000000fdda10fe,00000000fffb8cf0
45,2019-08-10 01:30:00,3,0,4,5,4,18,0,2,6,4,42,0,0,0,25,7,10,0,0,0,2,0,6,14,2
46,2019-08-10 01:32:00,5,0,3,7,5,20,0,3,4,11,36,0,1,0,27,7,8,0,0,0,2,0,10,16,2
47,2019-08-10 01:34:00,4,0,4,6,6,11,0,2,1,6,48,0,4,0,24,8,13,0,0,0,2,0,7,16,2
48,2019-08-10 01:36:00,3,0,1,6,4,9,0,2,1,1,44,0,4,0,25,4,6,0,0,0,3,0,8,20,2
49,2019-08-10 01:38:00,4,0,2,6,2,10,0,3,6,7,47,0,0,0,26,6,8,0,0,0,2,0,10,19,2
50,2019-08-10 01:40:00,3,1,2,6,5,16,0,3,4,2,41,0,2,0,26,5,9,0,0,0,2,0,12,18,2
51,2019-08-10 01:42:00,4,0,1,6,2,11,0,5,2,3,42,0,4,0,26,6,7,0,0,0,1,0,11,14,3
52,2019-08-10 01:44:00,4,1,1,6,3,9,0,3,1,4,41,0,4,0,24,9,7,0,0,0,2,0,9,16,2
53,2019-08-10 01:46:00,4,1,1,7,2,11,0,3,6,17,39,0,0,0,26,8,5,0,0,0,3,0,9,19,2
54,2019-08-10 01:48:00,4,0,1,6,5,8,0,2,4,4,40,0,2,0,25,8,7,0,0,0,3,0,7,14,2
55,2019-08-10 01:50:00,6,0,1,7,2,11,0,3,1,12,37,0,4,0,26,7,7,0,0,0,1,0,10,16,2
56,2019-08-10 01:52:00,6,0,1,5,2,10,0,3,2,5,40,0,4,0,24,7,10,0,0,0,2,0,8,16,2
57,2019-08-10 01:54:00,3,0,1,8,3,15,0,2,6,9,39,0,0,0,26,4,7,0,0,0,2,0,9,13,2
58,2019-08-10 01:56:00,3,0,1,7,2,10,0,3,3,13,36,0,2,0,25,10,7,0,0,0,2,0,9,16,2
59,2019-08-10 01:58:00,5,0,2,7,3,11,0,2,0,6,40,0,4,0,24,7,15,0,0,0,1,0,9,19,2
60,2019-08-10 02:00:00,4,0,1,6,2,7,0,3,2,7,41,0,4,0,26,4,13,0,0,0,2,0,9,16,2
61,2019-08-10 02:02:00,5,0,1,7,2,11,0,2,6,9,36,0,0,0,26,3,5,0,0,0,3,0,6,14,2
62,2019-08-10 02:04:00,4,0,0,6,2,11,0,2,3,14,38,0,2,0,28,7,12,0,0,0,2,0,11,13,2
63,2019-08-10 02:06:00,3,0,0,7,3,10,0,3,0,10,40,0,4,0,27,7,30,0,0,0,3,0,8,15,2
64,2019-08-10 02:08:00,3,0,2,7,4,10,0,2,1,11,41,0,4,0,25,4,25,0,0,0,2,0,11,15,2
65,2019-08-10 02:10:00,3,1,1,6,2,10,0,3,6,14,35,0,0,0,27,4,22,0,0,0,2,0,9,18,2
66,2019-08-10 02:12:00,4,0,1,8,2,12,0,2,2,10,34,0,2,0,28,5,19,0,0,0,2,0,6,20,2
67,2019-08-10 02:14:00,4,0,1,6,0,15,0,3,2,13,36,0,4,0,27,4,7,0,0,0,2,0,9,15,3
68,2019-08-10 02:16:00,4,0,1,7,0,10,0,2,1,7,35,0,4,0,29,7,4,0,0,0,2,0,9,11,2
69,2019-08-10 02:18:00,5,0,0,5,1,9,0,3,4,7,35,0,0,0,28,5,3,0,0,0,2,0,7,11,2
