prediction,actual
7.325459602318938,6.9
6.273938449018334,7.1
6.620191233318468,6.2
6.668653724615996,6.7
6.593590313412551,7.3
6.467085894772498,7.5
6.300402193032615,7.6
6.548615379554367,7.4
5.8215172453859525,7.6
5.897525752647643,7.4
6.064898401439071,7.8
5.807053945972524,8.3
5.493023532639239,8.0
5.891863653168156,8.8
5.476790395604593,6.9
5.909267177740401,7.6
5.158058776090827,7.3
5.540976660786073,8.8
5.133802366132415,8.4
5.072706207662436,7.7
5.398968086360271,7.4
5.71111932120962,8.7
5.562238875003456,7.4
5.746252388814892,8.2
5.461715000008636,7.7
5.587688160010086,8.4
5.407772228641524,7.1
5.452132868074689,6.6
5.393095614396221,10.4
5.212097114389555,8.8
5.403807737310719,7.5
6.061091678753343,8.0
5.995663140165732,7.8
6.047935459435848,8.7
6.177663329834417,8.4
6.029330468614717,7.6
5.833050032185575,8.2
5.754074319890144,7.3
5.878548415305339,6.1
5.863505662706153,7.0
5.768337938431067,7.6
6.449451759779185,7.9
6.230190623018791,7.7
6.422568132789513,7.5
6.226857472922438,7.2
5.866781598696127,7.8
6.015737967226109,8.2
5.851246333999409,8.5
5.869577213929954,7.7
5.6381616890797766,7.7
5.785876493190738,8.2
6.21977651257666,8.0
6.053132644299611,6.6
5.854194751212079,8.6
5.993530139917455,7.7
5.9221524126429035,8.1
5.592801462452801,8.4
5.381175276844122,7.6
5.458524239230972,7.4
5.254547276449134,7.2
5.2395484259887475,8.2
5.569557795821934,7.6
5.76099881275479,7.0
5.588485182421747,8.1
5.421834163708068,8.4
5.793709721345634,7.5
5.025268598381025,8.3
5.046982835693576,7.8
4.876048667867543,7.9
4.8947964374469635,7.3
4.817969433342803,7.3
6.179001357114009,7.2
6.214497801849694,7.6
6.151944334847064,7.4
6.3071303240997505,7.7
6.372630622571739,8.2
6.340293919059516,6.0
6.253896577199466,7.7
6.515942783376598,7.6
6.423109642963933,7.8
6.393689450732321,7.0
6.771587912832543,7.1
6.683033137010326,8.1
6.232327216242267,7.3
6.284542759423217,6.4
6.688858043777727,7.8
6.689647982671027,6.6
6.738572467615733,6.8
6.775046792763413,6.1
6.814693810069309,7.6
6.5500848823226585,7.9
6.693978111798445,7.8
6.89137006154816,6.8
6.745465066732593,7.3
6.597300251966986,6.6
6.382614964002031,7.2
6.375268207839929,7.3
6.447804538079857,5.6
6.458211522181478,7.1
6.449674888801133,6.4
6.243610313711264,5.7
6.609195331821549,6.6
5.876091117518707,6.8
6.077077502902024,6.5
6.739854271058387,7.6
6.410168935531199,5.4
6.250810428641178,6.2
6.537812424890025,7.1
6.957903702658702,6.5
7.0116772873696975,7.8
7.046773633929424,6.1
7.436941477039528,5.7
7.75391298945421,6.3
7.753110377720605,5.9
7.8443967209804155,6.6
7.854927257490789,7.2
8.516815648543268,7.4
8.604373489218016,6.5
9.184281199421786,7.3
8.744299047751081,6.5
