prediction,actual
0.14123040987229274,0.1
-0.5976250113214547,0.3
-0.4739428188534305,0.2
-0.610739061502457,0.0
-0.6663868738587411,0.0
-0.6514645992373147,0.0
-0.7452765067319973,0.0
-0.6866960648404046,0.0
-0.6032622317065801,0.0
-0.6432206824556914,0.1
-0.6968422086669506,0.1
-0.6723105301775405,0.1
-0.6559745099888943,0.0
-0.6609832045496802,0.2
-0.6331664145230178,0.0
-0.5986544174577801,0.0
-0.7794583660711254,0.0
-0.8265349276500871,0.0
-0.8300528099595823,0.1
-0.7956723028523385,0.1
-0.8054892164525569,0.0
-0.6154219813810045,0.1
-0.5977145848393235,0.2
-0.60635528089621,0.0
-0.6395540764839183,0.2
-0.6613734667355828,0.0
-0.72413760020099,0.0
-0.6874065765079962,0.1
-0.6995627288023201,0.0
-0.7308214653877911,0.0
-0.6408294975020539,0.5
-0.504474712802292,0.0
-0.43570121488026814,0.0
-0.5927683244821793,0.0
-0.5740851636486894,0.1
-0.5911855950748333,0.1
-0.6369190535028793,0.1
-0.6068424964573182,0.2
-0.5838865329927501,0.0
-0.574038167684563,0.0
-0.592482986970623,0.1
-0.43920616133399903,0.1
-0.4853745623727548,0.1
-0.4548115263711452,0.0
-0.4128227697082991,0.0
-0.4166749228007518,0.0
-0.5135831461795419,0.0
-0.5358436624578644,0.1
-0.6770799952868742,0.1
-0.7569005614117259,0.0
-0.7372748715245052,0.0
-0.5336242565770419,0.1
-0.5583466982413654,0.0
-0.5089899267596536,0.1
-0.5936672629423185,0.0
-0.6070848314183479,0.0
-0.7710326832625611,0.1
-0.7891856022843768,0.0
-0.846916188110086,0.1
-0.8348455404020996,0.2
-0.8522051284316632,0.0
-0.8244442915640491,0.0
-0.8216249436019609,0.0
-0.8803124262396125,0.1
-0.7891326633128131,0.1
-0.8630217181519129,0.1
-1.0859812857075752,0.1
-1.067195613687872,0.1
-1.1223013655458516,1.2
-1.1268932185974307,0.1
-1.144196820578813,0.4
-0.6546719693836565,0.2
-0.6300484058557743,0.1
-0.640735218353683,0.4
-0.6691222683639637,0.0
-0.6115519373604172,0.2
-0.740521133175875,0.4
-0.7706990773150864,0.5
-0.7565759624334163,0.2
-0.795262890591161,0.7
-0.7585968920633803,0.5
-0.7748122458035027,1.3
-0.808689126669492,0.5
-0.7671252392745487,0.5
-0.7783599453265424,0.1
-0.7578372539207976,0.0
-0.5257140093327308,0.0
-0.5029342690319396,0.0
-0.5464902543771046,0.0
-0.49985068951555434,0.0
-0.5067023211337727,0.0
-0.5349980995654846,0.0
-0.5455040655856749,0.0
-0.5182430991369529,0.0
-0.5254755591728042,0.0
-0.532143952974593,0.0
-0.5911474635076388,0.0
-0.5766337917165743,0.0
-0.5732556770385031,0.0
-0.58313921185092,0.0
-0.5883479945728993,0.0
-0.401110007106837,0.0
-0.4332202807491399,0.0
-0.3968162429909796,0.0
-0.36747370011380553,0.0
-0.36811169675675615,0.0
-0.5919802319864829,0.0
-0.5522706804531339,0.0
-0.5850288940721811,0.0
-0.5398115353715269,0.2
-0.5115040831183677,0.0
-0.4879895989493832,0.0
-0.4717888193910369,0.0
-0.5539615548818233,0.0
-0.5520267312216163,0.0
-0.5123788218764673,0.0
-0.31892613914311596,0.1
-0.3663977457617591,0.0
-0.36403200273051084,0.0
