prediction,actual
5.102935597010148,3.5
4.615943094255709,4.1
5.0313844475170875,4.9
5.369496844509694,3.9
4.5280182646702265,3.4
4.4013769659999795,4.1
4.030878934313545,4.0
4.695235407903688,5.8
4.842274525311566,5.6
4.238796692743598,5.4
4.559244137383846,5.1
4.787314494489458,5.0
5.082418127937192,5.8
4.934971078177327,5.7
4.6298137125746415,6.1
5.725274570409244,7.1
5.007498237562292,5.0
4.632212682610694,5.1
4.261709744400012,5.5
4.3026447585018435,5.3
4.385150265680551,5.9
3.3487460333902455,4.3
4.503234108180687,5.9
4.284593668494969,4.6
4.0372971286040045,5.9
3.627520593679332,6.1
3.4912928130365763,4.6
3.1828157981977085,5.4
4.3448647758559105,4.5
4.502417672371443,4.4
3.6996874352093663,4.8
5.077651225255348,6.2
4.187686592561754,5.0
4.011102283501142,5.2
3.0551271417965538,5.5
3.1442434918214257,5.5
3.0491408899321826,4.0
2.930001910673866,5.3
3.174436228607693,3.4
3.2032203514322894,4.7
2.2819561450202785,5.6
2.1858636127333275,4.5
2.1168265032492792,5.0
3.1259105618538285,4.9
1.682289381662529,3.9
1.8227259191964125,4.9
2.010572827040434,5.4
2.075164759342197,5.2
1.9736072039710315,3.5
1.889300837899352,5.4
1.8191851318558854,5.7
1.4544805494050443,4.5
1.781407656963287,4.7
2.5140080774285813,5.1
1.4549556242075,4.7
1.751361071552541,3.9
2.0097880305342493,5.5
1.9397384532078803,4.6
1.639720059709088,6.3
1.8515095800902657,4.1
1.7874880163402214,4.9
2.121279153588488,3.1
2.458682277263228,4.7
2.503514973722009,3.5
2.520333264857449,5.2
2.8534797371639478,5.6
2.912541722217341,4.5
2.822206230600896,3.5
2.7780529415506177,4.2
2.92647361327524,4.7
2.0428081151889224,5.9
2.1322745135207963,3.4
2.201321571668606,4.1
2.0034654300979184,3.8
1.8251278179713637,4.6
1.4991919516779948,5.5
1.4240729309775588,4.9
1.3384832932947166,4.2
1.3291878340195478,5.0
1.61275451877081,4.3
1.2660179915603536,6.2
1.7651006772580136,4.1
1.6030135976977125,3.0
1.480589423038392,4.3
1.7709939597389717,3.7
1.2995445276533735,4.2
0.8240989623851398,4.8
0.9351198765341726,4.0
1.571128939461671,3.8
1.2545511639627804,4.9
0.989849667614604,3.8
1.4447452617331757,4.4
1.3598694179711783,4.8
0.8565845879076095,4.6
0.7914903860914126,3.0
0.7847512576946087,4.0
1.1314798739358496,2.6
0.9521820735955835,5.5
1.3408589336210213,5.2
1.341103681430031,5.9
1.3019183849747265,5.0
1.1089853174450113,2.5
1.0814555471811254,5.7
0.9916426582393658,6.8
1.0557144878292917,3.4
1.224322629927661,3.7
0.9687158521129238,5.5
0.9403697496122536,5.8
1.4125845135168316,4.5
1.2162865389102073,4.1
1.2830876613604385,4.7
1.6626515864491438,3.7
1.3744620891526402,4.5
0.8474831048331213,3.0
1.4624478653002626,4.9
1.6242784169407294,4.9
1.0616551183148282,5.4
0.8845198433325319,5.7
0.6331660580059886,5.3
0.7303205474955252,4.0
0.8894533004587846,3.4
0.5892933115109189,2.2
0.5130363356005256,3.5
0.6359259428572752,5.0
0.7630156243139119,4.4
0.8683890894598223,5.0
0.6533629172605915,6.4
1.7271415630314886,5.0
0.7759862721440784,6.7
0.719879085890085,4.1
0.8436982050677697,5.3
1.912314616659991,3.2
1.4289941734363047,5.3
0.7447480308001015,6.7
1.107084057570189,5.7
1.489655669933418,5.4
1.3490923145665814,8.9
2.0021851371914874,5.3
1.4201096125938601,9.5
1.344291276768427,7.0
2.1883873174272903,8.1
2.117234550821424,11.3
2.2748924669904422,9.2
3.095272397505928,9.6
2.8155861366740886,10.3
2.3131178112819093,9.9
1.97894850688653,8.5
2.1836998389731086,10.7
1.9463538900054562,6.9
3.0593052785589876,11.0
2.4207728097322416,12.3
3.010236388584266,8.5
2.6812521588189835,8.3
3.0376495641336128,6.3
1.9851299277425714,6.0
2.53170296026474,8.4
2.0545082695827075,11.7
1.6208135432452044,9.1
3.5875926279310253,7.2
2.5376936173235567,12.9
2.493806672432381,10.8
3.382967344781706,8.2
4.720513105390543,6.7
2.9670377300149333,7.5
3.960264647534828,10.8
3.194280325723204,12.4
3.1940481862329833,10.1
3.5520890988775644,5.9
2.1098342802076786,4.3
2.743607493789101,12.4
3.321610674918656,7.3
3.324599269038483,14.4
3.235615907407359,11.5
5.147030167481924,9.2
3.395085546707177,7.9
4.054814599049163,14.0
4.565683470138145,15.2
4.041653289848259,10.9
4.818316741370214,8.6
3.5017486757036735,12.3
4.623070533546176,7.4
3.9774068495133506,11.0
4.495700765214135,6.5
4.699746582278866,7.2
4.553645320816136,6.9
4.958655804273793,8.1
4.694248528880692,7.1
3.864635789164989,5.3
5.3948168224011805,6.6
3.779081034628369,10.8
5.181989426374599,7.7
3.8504607712488106,8.5
4.019144874420327,6.6
4.514703827563677,9.9
4.580023263631491,7.4
4.850274634205881,8.5
3.726629765936135,4.3
4.535124583323023,6.7
4.9268901954777515,7.3
6.114990274255849,8.5
5.829913636888907,7.1
5.82745970847018,9.8
6.000394142258072,10.1
5.452200436238819,9.2
6.069550033731934,6.8
3.969903306178999,8.0
5.4358173686879105,11.5
6.268027579704844,7.2
5.476189623426897,8.7
5.517907435302327,9.9
4.576527410383234,11.9
6.2662270618009455,7.3
6.353652887948417,6.6
6.229169226157506,10.1
