,time,variable,value
111,12/8/2019 7:30,0000000006dd41f6,59
112,12/8/2019 8:00,0000000006dd41f6,50
113,12/8/2019 8:30,0000000006dd41f6,50
114,12/8/2019 9:00,0000000006dd41f6,61
115,12/8/2019 9:30,0000000006dd41f6,60
116,12/8/2019 10:00,0000000006dd41f6,55
117,12/8/2019 10:30,0000000006dd41f6,0
118,12/8/2019 11:00,0000000006dd41f6,0
119,12/8/2019 11:30,0000000006dd41f6,0
120,12/8/2019 12:00,0000000006dd41f6,0
121,12/8/2019 12:30,0000000006dd41f6,0
122,12/8/2019 13:00,0000000006dd41f6,0
123,12/8/2019 13:30,0000000006dd41f6,0
124,12/8/2019 14:00,0000000006dd41f6,0
125,12/8/2019 14:30,0000000006dd41f6,0
126,12/8/2019 15:00,0000000006dd41f6,0
127,12/8/2019 15:30,0000000006dd41f6,0
128,12/8/2019 16:00,0000000006dd41f6,0
129,12/8/2019 16:30,0000000006dd41f6,6
130,12/8/2019 17:00,0000000006dd41f6,9
131,12/8/2019 17:30,0000000006dd41f6,7
132,12/8/2019 18:00,0000000006dd41f6,9
133,12/8/2019 18:30,0000000006dd41f6,8
134,12/8/2019 19:00,0000000006dd41f6,7
135,12/8/2019 19:30,0000000006dd41f6,3
136,12/8/2019 20:00,0000000006dd41f6,8
137,12/8/2019 20:30,0000000006dd41f6,10
138,12/8/2019 21:00,0000000006dd41f6,5
139,12/8/2019 21:30,0000000006dd41f6,5
140,12/8/2019 22:00,0000000006dd41f6,5
141,12/8/2019 22:30,0000000006dd41f6,8
142,12/8/2019 23:00,0000000006dd41f6,6
143,12/8/2019 23:30,0000000006dd41f6,7
144,13/8/2019 0:00,0000000006dd41f6,7
145,13/8/2019 0:30,0000000006dd41f6,5
146,13/8/2019 1:00,0000000006dd41f6,7
147,13/8/2019 1:30,0000000006dd41f6,6
148,13/8/2019 2:00,0000000006dd41f6,6
149,13/8/2019 2:30,0000000006dd41f6,6
150,13/8/2019 3:00,0000000006dd41f6,5
151,13/8/2019 3:30,0000000006dd41f6,9
152,13/8/2019 4:00,0000000006dd41f6,3
153,13/8/2019 4:30,0000000006dd41f6,10
154,13/8/2019 5:00,0000000006dd41f6,18
155,13/8/2019 5:30,0000000006dd41f6,159
156,13/8/2019 6:00,0000000006dd41f6,133
157,13/8/2019 6:30,0000000006dd41f6,146
158,13/8/2019 7:00,0000000006dd41f6,152
159,13/8/2019 7:30,0000000006dd41f6,123
160,13/8/2019 8:00,0000000006dd41f6,124
161,13/8/2019 8:30,0000000006dd41f6,132
162,13/8/2019 9:00,0000000006dd41f6,125
163,13/8/2019 9:30,0000000006dd41f6,124
164,13/8/2019 10:00,0000000006dd41f6,129
165,13/8/2019 10:30,0000000006dd41f6,138
166,13/8/2019 11:00,0000000006dd41f6,151
167,13/8/2019 11:30,0000000006dd41f6,116
168,13/8/2019 12:00,0000000006dd41f6,159
169,13/8/2019 12:30,0000000006dd41f6,150
170,13/8/2019 13:00,0000000006dd41f6,217
171,13/8/2019 13:30,0000000006dd41f6,207
172,13/8/2019 14:00,0000000006dd41f6,161
173,13/8/2019 14:30,0000000006dd41f6,12
174,13/8/2019 15:00,0000000006dd41f6,9
