Year,m,d,Time,Time zone,Cloud amount (1/8),Pressure (msl) (hPa),Relative humidity (%),Precipitation intensity (mm/h),Snow depth (cm),Air temperature (degC),Dew-point temperature (degC),Horizontal visibility (m),Wind direction (deg),Gust speed (m/s),Wind speed (m/s)
2019,8,9,10:20,UTC,5,1006.4,59,0,-1,20.3,12.1,42480,348,3.8,1.9
2019,8,9,10:30,UTC,5,1006.4,59,0,-1,20.6,12.3,36960,322,4.1,1.8
2019,8,9,10:40,UTC,3,1006.3,59,0,-1,20.8,12.5,42130,21,3.4,1.9
2019,8,9,10:50,UTC,1,1006.4,58,0,-1,20.9,12.2,47020,25,5.1,2.5
2019,8,9,11:00,UTC,3,1006.4,57,0,-1,21.5,12.7,38550,359,5.3,3.6
2019,8,9,11:10,UTC,1,1006.4,56,0,-1,21.2,12.2,40330,351,5.2,2.5
2019,8,9,11:20,UTC,1,1006.4,56,0,-1,21.5,12.3,39180,330,5.4,2.3
2019,8,9,11:30,UTC,1,1006.4,55,0,-1,21.5,12.1,42580,346,6.5,3.2
2019,8,9,11:40,UTC,3,1006.5,56,0,-1,21.1,12.1,45990,24,4.5,2.6
2019,8,9,11:50,UTC,3,1006.5,54,0,-1,21,11.5,45520,37,5.5,2.4
2019,8,9,12:00,UTC,3,1006.5,55,0,-1,21.1,11.6,40560,29,6.4,1.6
2019,8,9,12:10,UTC,5,1006.6,68,0,-1,20.5,14.3,33390,353,2.9,1.4
2019,8,9,12:20,UTC,5,1006.6,67,0,-1,20.2,13.8,30190,212,4.1,1.9
2019,8,9,12:30,UTC,3,1006.7,69,0,-1,20.3,14.4,30300,174,2.8,1.4
2019,8,9,12:40,UTC,5,1006.6,64,0,-1,21,13.9,31750,213,4.6,2.8
2019,8,9,12:50,UTC,5,1006.7,66,0,-1,20.5,13.9,41320,228,4.3,2.9
2019,8,9,13:00,UTC,5,1006.8,67,0,-1,20.3,14.1,35440,166,5.1,2.2
2019,8,9,13:10,UTC,5,1006.9,66,0,-1,20.7,14.1,38820,177,4.8,3.3
2019,8,9,13:20,UTC,5,1007,70,0,-1,19.9,14.3,34860,188,5.1,3.1
2019,8,9,13:30,UTC,5,1007.1,69,0,-1,20.1,14.3,38140,223,5,3.4
2019,8,9,13:40,UTC,3,1007.2,68,0,-1,20.7,14.5,35960,218,4.7,3.7
2019,8,9,13:50,UTC,1,1007.3,68,0,-1,20.3,14.1,38540,212,5.5,4.2
2019,8,9,14:00,UTC,1,1007.4,68,0,-1,20.1,14.1,27550,220,6.6,4.5
2019,8,9,14:10,UTC,1,1007.5,69,0,-1,20.4,14.5,31320,218,6.7,4.7
2019,8,9,14:20,UTC,1,1007.6,71,0,-1,20,14.5,36810,221,6.9,4.6
2019,8,9,14:30,UTC,1,1007.7,73,0,-1,20.1,15.1,29020,219,6.8,5.2
2019,8,9,14:40,UTC,0,1007.7,72,0,-1,20.2,14.9,29550,235,7.4,5.1
2019,8,9,14:50,UTC,3,1007.7,72,0,-1,19.8,14.7,32990,230,6.5,4.7
2019,8,9,15:00,UTC,5,1007.7,74,0,-1,19.9,15.1,30820,233,5.5,3.4
