prediction,actual
7.592469427997258,6.9
6.2056470954426715,7.1
6.4842081981302755,6.2
6.523262934810262,6.7
6.462778041211223,7.3
6.360931040317851,7.5
6.251370319898172,7.6
6.4533186261057836,7.4
5.862964968333815,7.6
5.924503015322218,7.4
6.060158217638675,7.8
6.0710868025615685,8.3
5.819226704603567,8.0
6.139241923635083,8.8
5.806229128781398,6.9
6.153234850744397,7.6
5.770277023280171,7.3
6.071407653642934,8.8
5.751249929983528,8.4
5.703351131701066,7.7
5.959564416627513,7.4
6.566857298801413,8.7
6.453882227324446,7.4
6.593552035714911,8.2
6.37773746381956,7.7
6.473176983425478,8.4
5.528735106754539,7.1
5.5645090790869745,6.6
5.516902656652519,10.4
5.371115000427835,8.8
5.5255387283454525,7.5
6.986316848469034,8.0
6.936045812170239,7.8
6.976205379016466,8.7
7.075977656179209,8.4
6.961908797743224,7.6
7.0985311042905685,8.2
7.036000566407065,7.3
7.1345900220548195,6.1
7.1226653656194365,7.0
7.047288382741751,7.6
7.709800996970902,7.9
7.535169660428782,7.7
7.68836503958028,7.5
7.53251848733294,7.2
7.246752077919954,7.8
5.678385604440722,8.2
5.526572099654105,8.5
5.543485225800326,7.7
5.330059545305788,7.7
5.466268227651243,8.2
6.561555911937376,8.0
6.416435614843408,6.6
6.243383803110078,8.6
6.3645666275257895,7.7
6.302475025606441,8.1
5.951734047437119,8.4
5.769036949078204,7.6
5.8357760257931,7.4
5.659869804562211,7.2
5.646946730658035,8.2
6.205709573757417,7.6
6.368364774113047,7.0
6.221779195719876,8.1
6.080379860281029,8.4
6.396183387272913,7.5
5.49411713809504,8.3
5.513169423807389,7.8
5.363287096141127,7.9
5.379715042007794,7.3
5.312411665322676,7.3
6.957567572797014,7.2
6.9895199293028405,7.6
6.933215656249782,7.4
7.0729290439942325,7.7
7.131929418055893,8.2
6.628343275178626,6.0
6.544910085171356,7.7
6.798011587928958,7.6
6.708331711446821,7.8
6.6799143555935,7.0
7.045837954437207,7.1
6.958615607426328,8.1
6.514861995209049,7.3
6.566256904074681,6.4
6.964352544059626,7.8
7.452787569636328,6.6
7.50088475241013,6.8
7.536745214512237,6.1
7.575727766672017,7.6
7.315609413447888,7.9
7.374895035198513,7.8
7.570422087710092,6.8
7.425890920745367,7.3
7.279148366410887,6.6
7.066574881091306,7.2
7.064782205069566,7.3
7.135542281013347,5.6
7.14569542839725,7.1
7.137366993461644,6.4
6.93638007273832,5.7
7.345826142176726,6.6
6.630018596330991,6.8
6.826048235721181,6.5
7.473623199143141,7.6
7.15128483723803,5.4
6.634907394861198,6.2
6.91984597788176,7.1
7.337313838789537,6.5
7.390784546098342,7.8
7.425687154399423,6.1
7.764005272354133,5.7
8.079271837189175,6.3
8.078473279872505,5.9
8.169306854841615,6.6
8.179786241473415,7.2
8.988394990110184,7.4
9.076199759361547,6.5
9.658013739560548,7.3
9.216543000208677,6.5
9.97921050667765,6.6
9.778407306447413,8.5
10.344502493635595,10.7
11.538966587707698,7.4
12.503491019638709,8.7
13.06814558235424,9.3
12.795780669790862,7.8
13.670644058778965,8.4
15.28833228806187,11.2
16.866360260870213,10.1
17.507602731616405,8.6
20.027791421887347,11.9
21.86146768669324,11.2
23.40943179170598,10.2
24.18127717044531,10.4
26.09523268476438,11.2
27.23690688599191,13.7
28.336672057367362,10.4
29.021082472055692,9.0
29.57858382165028,10.4
29.3897203048848,10.7
30.228684470777235,12.2
30.892621075635244,11.5
30.982435570945594,11.1
30.74091295763287,11.0
31.3264071785436,10.3
29.301911902104973,11.2
29.313824328709824,12.6
29.305491517320956,11.6
29.29244459453879,11.0
29.304188142785062,11.6
33.96707073278138,10.9
33.27990011999945,11.3
33.63679148571576,9.3
33.39903165887277,10.1
33.787924302250346,11.1
31.08179784237863,8.4
31.14811417046239,10.0
31.038828029275617,12.6
30.78856904726778,11.8
30.71259099311025,12.0
30.6128025067166,12.3
30.88009530071832,11.4
30.83743976504655,10.7
30.71560841484978,13.0
30.83550115353324,10.5
25.54741305187738,9.3
25.943904664516783,10.3
